"Alta Floresta D'Oeste","Alta Floresta D'Oeste"
"Alto Alegre dos Parecis","Alto Alegre dos Parecis"
"Alto Paraíso","Alto Paraíso"
"Alvorada D'Oeste","Alvorada D'Oeste"
"Buritis","Buritis"
"Ariquemes","Ariquemes"
"Cacaulândia","Cacaulândia"
"Campo Novo de Rondônia","Campo Novo de Rondônia"
"Cabixi","Cabixi"
"Candeias do Jamari","Candeias do Jamari"
"Castanheiras","Castanheiras"
"Chupinguaia","Chupinguaia"
"Cerejeiras","Cerejeiras"
"Colorado do Oeste","Colorado do Oeste"
"Cacoal","Cacoal"
"Corumbiara","Corumbiara"
"Costa Marques","Costa Marques"
"Cujubim","Cujubim"
"Governador Jorge Teixeira","Governador Jorge Teixeira"
"Itapuã do Oeste","Itapuã do Oeste"
"Jaru","Jaru"
"Guajará-Mirim","Guajará-Mirim"
"Espigão D'Oeste","Espigão D'Oeste"
"Ji-Paraná","Ji-Paraná"
"Machadinho D'Oeste","Machadinho D'Oeste"
"Ministro Andreazza","Ministro Andreazza"
"Monte Negro","Monte Negro"
"Nova Brasilândia D'Oeste","Nova Brasilândia D'Oeste"
"Nova Mamoré","Nova Mamoré"
"Novo Horizonte do Oeste","Novo Horizonte do Oeste"
"Nova União","Nova União"
"Mirante da Serra","Mirante da Serra"
"Ouro Preto do Oeste","Ouro Preto do Oeste"
"Parecis","Parecis"
"Pimenta Bueno","Pimenta Bueno"
"Pimenteiras do Oeste","Pimenteiras do Oeste"
"Primavera de Rondônia","Primavera de Rondônia"
"Presidente Médici","Presidente Médici"
"Porto Velho","Porto Velho"
"Rolim de Moura","Rolim de Moura"
"Rio Crespo","Rio Crespo"
"Santa Luzia D'Oeste","Santa Luzia D'Oeste"
"São Miguel do Guaporé","São Miguel do Guaporé"
"São Felipe D'Oeste","São Felipe D'Oeste"
"São Francisco do Guaporé","São Francisco do Guaporé"
"Seringueiras","Seringueiras"
"Teixeirópolis","Teixeirópolis"
"Vale do Paraíso","Vale do Paraíso"
"Urupá","Urupá"
"Vale do Anari","Vale do Anari"
"Theobroma","Theobroma"
"Acrelândia","Acrelândia"
"Assis Brasil","Assis Brasil"
"Bujari","Bujari"
"Brasiléia","Brasiléia"
"Cruzeiro do Sul","Cruzeiro do Sul"
"Vilhena","Vilhena"
"Epitaciolândia","Epitaciolândia"
"Capixaba","Capixaba"
"Mâncio Lima","Mâncio Lima"
"Jordão","Jordão"
"Manoel Urbano","Manoel Urbano"
"Marechal Thaumaturgo","Marechal Thaumaturgo"
"Plácido de Castro","Plácido de Castro"
"Porto Walter","Porto Walter"
"Porto Acre","Porto Acre"
"Feijó","Feijó"
"Rodrigues Alves","Rodrigues Alves"
"Rio Branco","Rio Branco"
"Sena Madureira","Sena Madureira"
"Santa Rosa do Purus","Santa Rosa do Purus"
"Xapuri","Xapuri"
"Tarauacá","Tarauacá"
"Amaturá","Amaturá"
"Senador Guiomard","Senador Guiomard"
"Alvarães","Alvarães"
"Anori","Anori"
"Anamã","Anamã"
"Barcelos","Barcelos"
"Atalaia do Norte","Atalaia do Norte"
"Barreirinha","Barreirinha"
"Benjamin Constant","Benjamin Constant"
"Beruri","Beruri"
"Autazes","Autazes"
"Apuí","Apuí"
"Boa Vista do Ramos","Boa Vista do Ramos"
"Boca do Acre","Boca do Acre"
"Borba","Borba"
"Canutama","Canutama"
"Caapiranga","Caapiranga"
"Careiro da Várzea","Careiro da Várzea"
"Careiro","Careiro"
"Codajás","Codajás"
"Eirunepé","Eirunepé"
"Carauari","Carauari"
"Envira","Envira"
"Coari","Coari"
"Guajará","Guajará"
"Ipixuna","Ipixuna"
"Humaitá","Humaitá"
"Fonte Boa","Fonte Boa"
"Itacoatiara","Itacoatiara"
"Iranduba","Iranduba"
"Itamarati","Itamarati"
"Itapiranga","Itapiranga"
"Jutaí","Jutaí"
"Juruá","Juruá"
"Japurá","Japurá"
"Manacapuru","Manacapuru"
"Manaquiri","Manaquiri"
"Manaus","Manaus"
"Maraã","Maraã"
"Lábrea","Lábrea"
"Nhamundá","Nhamundá"
"Maués","Maués"
"Manicoré","Manicoré"
"Nova Olinda do Norte","Nova Olinda do Norte"
"Novo Airão","Novo Airão"
"Presidente Figueiredo","Presidente Figueiredo"
"Santa Isabel do Rio Negro","Santa Isabel do Rio Negro"
"Rio Preto da Eva","Rio Preto da Eva"
"Parintins","Parintins"
"Santo Antônio do Içá","Santo Antônio do Içá"
"São Gabriel da Cachoeira","São Gabriel da Cachoeira"
